date,open,close,high,low,volume
2025-09-02,8.91,8.72,9.07,8.62,43930175.0
2025-09-03,8.8,8.49,9.0,8.47,42706202.0
2025-09-04,8.45,8.54,8.75,8.28,42135077.0
2025-09-05,8.58,8.65,8.68,7.95,43785500.0
2025-09-08,8.61,8.57,8.74,8.3,27349400.0
2025-09-09,8.54,8.38,8.54,8.26,21524701.0
2025-09-10,8.32,8.22,8.48,8.19,22889600.0
2025-09-11,8.23,8.43,8.55,8.18,29811700.0
2025-09-12,8.43,8.56,8.73,8.35,36493200.0
2025-09-15,8.55,8.8,8.96,8.23,47734900.0
2025-09-16,8.78,8.62,8.78,8.53,27923200.0
2025-09-17,8.57,8.44,8.6,8.4,23524735.0
2025-09-18,8.45,8.24,8.56,8.15,27257354.0
2025-09-19,8.2,9.06,9.06,8.18,98848948.0
2025-09-22,8.93,8.58,8.99,8.55,65114821.0
2025-09-23,8.65,8.42,8.69,8.15,40335800.0
2025-09-24,8.45,8.53,8.77,8.31,37105600.0
2025-09-25,8.45,9.19,9.38,8.4,94390001.0
2025-09-26,9.14,9.33,9.68,9.01,81619267.0
2025-09-29,9.33,8.95,9.36,8.95,51035646.0
2025-09-30,9.1,9.37,9.48,8.95,39589100.0
2025-10-09,9.47,9.51,9.84,9.31,53544955.0
2025-10-10,9.44,8.89,9.48,8.8,55609700.0
2025-10-13,8.44,8.96,8.98,8.38,34387700.0
2025-10-14,8.93,8.53,9.1,8.51,31799250.0
2025-10-15,8.55,8.55,8.62,8.42,19125600.0
2025-10-16,8.54,8.38,8.54,8.3,17425476.0
2025-10-17,8.41,8.01,8.49,8.0,23828809.0
2025-10-20,8.18,8.11,8.21,8.02,13316004.0
2025-10-21,8.11,8.2,8.28,8.07,13740001.0
2025-10-22,8.32,9.02,9.02,8.32,55592478.0
2025-10-23,9.15,9.38,9.7,9.06,79669249.0
2025-10-24,9.3,9.17,9.4,9.1,44038300.0
2025-10-27,9.27,8.95,9.34,8.92,33858800.0
2025-10-28,8.88,8.77,8.98,8.74,25278200.0
2025-10-29,8.77,8.75,8.82,8.62,17709440.0
2025-10-30,8.81,8.57,8.83,8.55,18404200.0
2025-10-31,9.03,8.96,9.43,8.93,54358191.0
2025-11-03,8.89,8.86,9.09,8.71,31938489.0
2025-11-04,8.83,8.88,8.94,8.75,22967060.0
2025-11-05,8.89,8.91,9.1,8.71,24060370.0
2025-11-06,8.88,9.11,9.2,8.81,32828274.0
2025-11-07,9.0,9.14,9.26,8.97,25701280.0
2025-11-10,9.15,8.86,9.17,8.78,26263700.0
2025-11-11,8.88,8.95,8.98,8.81,15492900.0
2025-11-12,8.93,8.67,8.94,8.62,20320700.0
2025-11-13,8.66,8.92,9.11,8.6,22421120.0
2025-11-14,8.86,8.94,9.08,8.8,21261178.0
2025-11-17,8.86,8.92,9.1,8.85,15564300.0
