date,open,close,high,low,volume
2025-09-02,63.9,62.95,63.9,62.0,39353104.0
2025-09-03,63.57,57.08,63.88,56.66,66713233.0
2025-09-04,55.38,54.24,57.08,53.4,53002227.0
2025-09-05,54.25,54.6,55.45,53.65,29367912.0
2025-09-08,54.6,54.59,54.86,53.88,24479787.0
2025-09-09,54.63,55.67,56.9,54.36,35648033.0
2025-09-10,55.75,57.24,58.18,55.7,31693304.0
2025-09-11,57.25,58.84,58.86,56.82,27898445.0
2025-09-12,58.87,58.25,59.29,58.1,19741607.0
2025-09-15,58.0,58.39,59.05,57.77,16291598.0
2025-09-16,58.3,57.89,58.39,57.03,15496586.0
2025-09-17,57.9,58.5,58.57,57.53,14913569.0
2025-09-18,58.47,58.65,59.77,58.01,26211386.0
2025-09-19,59.6,62.45,63.08,59.6,56957520.0
2025-09-22,62.1,63.74,63.95,62.02,38832790.0
2025-09-23,64.7,63.74,65.08,62.19,28917197.0
2025-09-24,63.15,64.14,65.5,62.32,25940853.0
2025-09-25,63.66,63.88,64.88,62.69,26205608.0
2025-09-26,64.0,64.48,65.97,63.31,31719096.0
2025-09-29,65.0,65.3,65.8,63.21,25728068.0
2025-09-30,65.29,71.83,71.83,65.09,63959296.0
2025-10-09,71.0,71.21,71.79,68.0,61482060.0
2025-10-10,70.64,71.19,73.66,70.1,49562551.0
2025-10-13,69.04,70.75,72.26,69.0,35232573.0
2025-10-14,70.55,67.72,70.89,67.47,39297847.0
2025-10-15,67.72,66.58,67.74,65.6,32203029.0
2025-10-16,67.88,67.14,69.3,66.99,36928184.0
2025-10-17,66.8,64.57,67.99,64.42,32457341.0
2025-10-20,65.2,64.51,65.75,63.9,21030581.0
2025-10-21,64.45,64.33,64.86,63.74,19484101.0
2025-10-22,64.23,63.1,64.23,62.88,16872132.0
2025-10-23,63.07,62.27,63.3,61.36,20771027.0
2025-10-24,63.0,63.15,64.11,62.88,24274031.0
2025-10-27,63.93,63.66,64.14,62.7,21306428.0
2025-10-28,63.67,64.88,66.16,63.45,39144495.0
2025-10-29,64.85,64.13,64.85,63.8,22539863.0
2025-10-30,63.39,62.61,64.1,61.63,30903963.0
2025-10-31,62.62,61.08,62.97,61.08,22119000.0
2025-11-03,61.08,61.41,61.7,60.6,15974672.0
2025-11-04,61.2,60.29,61.3,59.94,15366902.0
2025-11-05,59.7,60.38,60.7,59.58,11605728.0
2025-11-06,60.38,60.66,61.02,60.37,12814621.0
2025-11-07,60.41,59.82,60.52,59.65,15161989.0
2025-11-10,59.8,59.63,60.2,58.62,16117244.0
2025-11-11,59.7,58.93,60.06,58.88,12850337.0
2025-11-12,58.88,58.32,58.92,57.62,15067193.0
2025-11-13,58.28,58.45,58.8,58.03,9131033.0
2025-11-14,58.47,59.04,60.61,58.41,30934201.0
2025-11-17,61.49,60.26,62.3,59.75,43442709.0
2025-11-18,60.3,59.38,60.4,57.98,24888460.0
2025-11-19,59.02,60.44,61.29,58.88,25785036.0
2025-11-20,59.6,58.95,60.25,58.91,16382371.0
2025-11-21,58.02,57.9,59.2,57.4,18606557.0
2025-11-24,58.22,61.2,61.38,58.18,32989892.0
2025-11-25,60.59,60.37,60.59,59.59,24886564.0
2025-11-26,59.8,58.4,59.8,58.27,23682723.0
