date,open,close,high,low,volume
2025-09-02,6.85,6.67,6.9,6.6,43075573.0
2025-09-03,6.7,6.59,6.72,6.58,30232710.0
2025-09-04,6.59,6.53,6.7,6.45,35498241.0
2025-09-05,6.56,6.67,6.68,6.51,29946816.0
2025-09-08,6.7,6.67,6.72,6.58,29203419.0
2025-09-09,6.66,6.94,7.04,6.63,72598654.0
2025-09-10,6.9,6.81,6.95,6.76,41679920.0
2025-09-11,6.78,6.81,6.82,6.62,35876353.0
2025-09-12,6.79,6.81,6.94,6.71,38792796.0
2025-09-15,6.82,6.74,6.86,6.74,23857183.0
2025-09-16,6.78,6.84,6.89,6.62,39647570.0
2025-09-17,6.84,6.75,6.84,6.73,25981362.0
2025-09-18,6.75,6.65,6.9,6.6,44015292.0
2025-09-19,6.66,6.67,6.74,6.63,20037449.0
2025-09-22,6.7,6.61,6.73,6.53,23346612.0
2025-09-23,6.62,6.59,6.64,6.41,27442692.0
2025-09-24,6.57,6.68,6.7,6.56,23706112.0
2025-09-25,6.7,6.74,6.81,6.65,27274620.0
2025-09-26,6.75,6.83,6.92,6.75,36598943.0
2025-09-29,6.91,7.12,7.12,6.83,52498273.0
2025-09-30,7.13,7.16,7.22,7.04,34665277.0
2025-10-09,7.34,7.88,7.88,7.34,64961675.0
2025-10-10,8.15,8.26,8.5,8.05,157742704.0
2025-10-13,7.95,8.38,8.45,7.94,95582955.0
2025-10-14,8.57,8.35,8.71,8.21,81439816.0
2025-10-15,8.33,8.49,8.6,8.22,65355359.0
2025-10-16,8.11,8.02,8.32,7.88,99641676.0
2025-10-17,8.07,7.65,8.11,7.58,82173147.0
2025-10-20,7.73,7.55,7.75,7.47,51195080.0
2025-10-21,7.59,7.64,7.71,7.55,29701206.0
2025-10-22,7.55,7.48,7.57,7.45,31690914.0
2025-10-23,7.45,7.5,7.52,7.37,26154722.0
2025-10-24,7.58,7.4,7.58,7.35,32454672.0
2025-10-27,7.45,7.66,7.77,7.44,48469807.0
2025-10-28,7.62,7.57,7.72,7.55,39770393.0
2025-10-29,7.55,7.67,7.7,7.49,31384341.0
2025-10-30,7.67,7.58,7.69,7.55,29652824.0
2025-10-31,7.6,7.54,7.67,7.49,31166047.0
2025-11-03,7.55,7.42,7.59,7.31,36559320.0
2025-11-04,7.4,7.34,7.46,7.29,26143544.0
2025-11-05,7.29,7.34,7.39,7.26,23061833.0
2025-11-06,7.35,7.42,7.45,7.35,22707155.0
2025-11-07,7.4,7.45,7.52,7.34,25645117.0
2025-11-10,7.45,7.38,7.49,7.35,22727148.0
2025-11-11,7.4,7.49,7.59,7.39,28545956.0
2025-11-12,7.52,7.45,7.53,7.33,31052210.0
2025-11-13,7.44,7.53,7.61,7.44,32935926.0
2025-11-14,7.5,7.38,7.52,7.38,23828522.0
2025-11-17,7.39,7.35,7.43,7.33,24011044.0
2025-11-18,7.36,7.2,7.39,7.15,30903675.0
2025-11-19,7.24,7.21,7.35,7.15,20978618.0
2025-11-20,7.24,7.23,7.44,7.2,28017823.0
2025-11-21,7.18,6.8,7.18,6.8,41955536.0
2025-11-24,7.05,6.97,7.25,6.93,31154866.0
2025-11-25,7.06,7.01,7.12,6.98,19464536.0
2025-11-26,7.04,6.99,7.06,6.97,17221304.0
2025-11-27,7.05,7.04,7.15,7.02,22492712.0
2025-11-28,7.05,7.11,7.13,6.98,16192475.0
2025-12-01,7.25,7.21,7.43,7.19,36058234.0
2025-12-02,7.17,7.06,7.19,7.05,22427988.0
2025-12-03,7.08,7.03,7.1,7.0,17672768.0
2025-12-04,7.05,7.03,7.06,6.95,17830204.0
2025-12-05,7.03,7.2,7.26,6.99,34813845.0
2025-12-08,7.21,7.11,7.24,7.11,25699793.0
2025-12-09,7.1,6.83,7.11,6.81,43700620.0
2025-12-10,6.81,6.8,6.85,6.73,21717136.0
2025-12-11,6.81,6.72,6.86,6.7,19662993.0
2025-12-12,6.74,6.8,6.85,6.74,21190964.0
2025-12-15,6.77,6.8,6.84,6.74,18432936.0
2025-12-16,6.8,6.69,6.81,6.65,16115344.0
2025-12-17,6.68,6.78,6.81,6.61,19786177.0
2025-12-18,6.83,7.01,7.29,6.81,49689403.0
2025-12-19,7.0,7.21,7.25,6.99,39320248.0
