date,open,close,high,low,volume
2025-09-02,45.08,43.8,45.59,43.5,148018338.0
2025-09-03,44.01,43.22,44.43,42.99,100889947.0
2025-09-04,43.71,44.39,45.69,43.5,200637662.0
2025-09-05,44.36,47.2,47.2,43.7,228191530.0
2025-09-08,49.09,49.75,51.92,48.78,289125512.0
2025-09-09,49.78,47.71,50.75,47.48,188129323.0
2025-09-10,46.28,48.09,48.97,45.82,201877336.0
2025-09-11,47.2,52.9,52.9,46.51,284214404.0
2025-09-12,54.2,52.71,55.66,52.46,425849206.0
2025-09-15,52.14,52.74,54.23,52.07,249499806.0
2025-09-16,52.66,52.39,54.2,52.15,200349016.0
2025-09-17,52.63,52.01,52.99,51.5,194955234.0
2025-09-18,51.5,53.11,54.94,51.1,315536216.0
2025-09-19,54.31,55.41,57.91,54.03,319703998.0
2025-09-22,60.95,60.95,60.95,60.13,90279351.0
2025-09-23,67.05,65.7,67.05,63.66,554123874.0
2025-09-24,64.23,70.2,72.2,63.7,451635559.0
2025-09-25,69.8,68.74,71.58,68.2,331771538.0
2025-09-26,68.72,64.25,68.78,64.16,332090893.0
2025-09-29,64.25,64.8,65.36,62.68,262852479.0
2025-09-30,65.4,64.69,66.38,63.76,229529053.0
2025-10-09,63.84,65.3,66.15,63.36,261650982.0
2025-10-10,64.5,60.8,64.95,60.21,260955086.0
2025-10-13,55.12,57.75,58.37,55.12,267290302.0
2025-10-14,58.8,55.01,59.97,54.55,248599086.0
2025-10-15,55.04,58.2,58.38,53.88,242527395.0
2025-10-16,58.04,59.2,61.6,57.73,256325542.0
2025-10-17,59.25,55.49,59.25,55.4,179240230.0
2025-10-20,56.86,57.15,57.85,56.44,162519564.0
2025-10-21,59.0,61.15,62.87,58.95,292936570.0
2025-10-22,60.1,60.11,61.15,59.53,132425023.0
2025-10-23,59.3,60.14,60.45,58.28,109740953.0
2025-10-24,60.89,63.91,64.15,60.66,234445779.0
2025-10-27,65.88,65.4,65.99,63.53,233992056.0
2025-10-28,64.7,64.66,65.8,64.0,142632780.0
2025-10-29,65.91,67.28,67.48,65.17,180052783.0
2025-10-30,67.1,65.04,67.29,63.66,178788411.0
2025-10-31,66.2,63.0,66.88,63.0,173415239.0
2025-11-03,62.8,62.92,62.96,60.69,140414271.0
2025-11-04,62.5,60.54,62.84,60.06,128990576.0
2025-11-05,58.6,60.98,61.46,58.36,112172866.0
2025-11-06,60.98,61.66,61.86,59.8,132471322.0
2025-11-07,60.72,59.9,61.0,59.84,105363369.0
2025-11-10,59.5,58.4,60.2,57.21,153527579.0
2025-11-11,58.98,56.49,59.15,56.23,108489718.0
2025-11-12,56.44,57.77,58.46,56.37,135717529.0
2025-11-13,57.2,57.38,58.35,56.88,93995272.0
2025-11-14,56.66,56.51,58.23,56.1,101754426.0
2025-11-17,56.49,56.55,57.44,56.12,74185638.0
2025-11-18,56.12,56.61,57.75,55.4,105402888.0
2025-11-19,57.0,56.75,57.94,56.41,93532984.0
2025-11-20,58.1,55.75,58.2,55.68,95981221.0
2025-11-21,54.0,52.85,54.28,52.8,149999606.0
2025-11-24,53.19,53.25,53.85,52.2,95703000.0
2025-11-25,54.22,55.7,56.39,54.04,145075983.0
2025-11-26,55.32,57.6,58.85,54.91,159153919.0
2025-11-27,57.7,56.96,59.13,56.8,126380424.0
2025-11-28,56.82,57.78,58.18,56.75,96257755.0
2025-12-01,57.85,58.61,59.29,56.4,137736228.0
2025-12-02,58.57,60.0,61.5,58.18,181396504.0
2025-12-03,60.08,58.82,60.4,58.45,108086644.0
2025-12-04,58.61,59.63,59.73,57.11,103890858.0
2025-12-05,59.62,59.25,59.68,58.71,71699567.0
2025-12-08,59.1,60.08,60.71,58.74,111448052.0
2025-12-09,60.07,60.6,61.51,59.6,110658149.0
