date,open,close,high,low,volume
2025-09-02,24.88,24.88,24.88,24.25,9605496.0
2025-09-03,27.3,25.6,27.37,24.84,67609947.0
2025-09-04,25.94,23.04,26.49,23.04,45054646.0
2025-09-05,21.08,23.71,24.3,21.08,50239426.0
2025-09-08,23.56,22.86,24.33,22.62,36954984.0
2025-09-09,23.0,23.65,24.46,22.59,38267112.0
2025-09-10,23.42,23.4,24.2,23.05,24597314.0
2025-09-11,23.4,23.42,23.74,22.67,19643189.0
2025-09-12,23.45,23.1,23.65,22.7,16594124.0
2025-09-15,23.44,22.81,24.07,22.79,18653814.0
2025-09-16,22.8,22.73,23.1,22.4,14714716.0
2025-09-17,22.74,22.49,23.01,22.45,10930444.0
2025-09-18,22.35,22.19,22.9,21.83,13835365.0
2025-09-19,21.95,21.85,22.7,21.76,11549278.0
2025-09-22,22.0,21.93,22.42,21.61,7351270.0
2025-09-23,21.87,21.59,22.2,21.15,9976085.0
2025-09-24,21.51,22.67,22.7,21.45,13575222.0
2025-09-25,22.6,22.35,23.02,22.3,12996645.0
2025-09-26,22.1,21.82,22.37,21.8,7301030.0
2025-09-29,21.93,22.53,22.67,21.93,9769052.0
2025-09-30,22.41,22.72,23.17,22.26,12157619.0
2025-10-09,23.07,22.47,23.16,22.4,12069927.0
2025-10-10,22.26,22.0,22.71,21.81,8486825.0
2025-10-13,20.5,21.66,21.82,20.21,9723487.0
2025-10-14,21.8,20.95,22.04,20.81,8367461.0
2025-10-15,21.29,21.56,22.1,21.23,8164300.0
2025-10-16,21.85,21.73,22.6,21.59,10238311.0
2025-10-17,21.8,21.55,23.09,21.48,19057892.0
2025-10-20,21.74,21.96,22.2,21.43,10311270.0
2025-10-21,21.84,21.89,22.2,21.7,7904725.0
2025-10-22,21.71,21.16,21.76,21.0,7880100.0
2025-10-23,20.94,21.44,21.5,20.73,7291207.0
2025-10-24,21.58,21.32,21.75,21.22,5773928.0
2025-10-27,21.58,22.07,22.23,21.37,12163476.0
2025-10-28,22.21,22.43,22.62,21.81,9828220.0
2025-10-29,22.35,22.59,22.74,22.2,8900461.0
2025-10-30,22.55,22.58,22.89,22.31,12819554.0
2025-10-31,22.33,22.46,23.16,22.33,14821449.0
2025-11-03,22.47,22.22,22.55,21.63,8535525.0
2025-11-04,22.22,21.81,22.41,21.58,6145500.0
2025-11-05,21.39,22.43,22.75,21.3,10352772.0
2025-11-06,22.43,22.51,23.06,21.93,9088140.0
2025-11-07,22.4,22.62,22.9,22.1,10136758.0
2025-11-10,22.75,22.61,23.98,22.52,20006960.0
2025-11-11,22.7,22.76,23.09,22.37,11902706.0
2025-11-12,22.75,22.79,23.25,21.86,12282120.0
2025-11-13,22.75,23.1,23.51,22.72,20197529.0
2025-11-14,23.1,24.16,25.41,22.69,38605392.0
2025-11-17,24.29,24.15,24.57,23.4,25208594.0
2025-11-18,23.26,22.67,23.93,22.5,20834916.0
2025-11-19,22.52,24.34,24.94,22.52,47533650.0
2025-11-20,24.01,23.39,24.8,22.99,37921693.0
2025-11-21,22.7,21.05,22.7,21.05,17418901.0
2025-11-24,19.99,18.95,20.5,18.95,19472997.0
2025-11-25,18.89,19.05,19.33,18.6,16479736.0
2025-11-26,19.06,18.78,19.17,18.72,11130000.0
2025-11-27,18.78,18.96,19.35,18.72,12511304.0
2025-11-28,19.0,19.44,19.47,18.98,10653923.0
2025-12-01,19.42,19.25,19.68,19.15,8696903.0
2025-12-02,19.18,18.88,19.28,18.83,6733809.0
2025-12-03,18.86,18.84,19.09,18.66,7015500.0
2025-12-04,18.81,18.49,18.89,18.25,6519964.0
2025-12-05,18.39,18.88,18.92,18.21,5899516.0
