date,open,close,high,low,volume
2025-09-02,6.11,6.04,6.12,5.98,17189465.0
2025-09-03,6.05,6.08,6.1,5.97,19454352.0
2025-09-04,6.04,6.15,6.19,6.04,24607981.0
2025-09-05,6.15,6.21,6.22,6.11,22383542.0
2025-09-08,6.22,6.21,6.22,6.14,17349743.0
2025-09-09,6.19,6.11,6.19,6.09,13422127.0
2025-09-10,6.1,6.12,6.14,6.08,10077583.0
2025-09-11,6.12,6.13,6.14,6.03,15868200.0
2025-09-12,6.13,6.05,6.13,6.05,13417905.0
2025-09-15,6.05,6.03,6.07,6.02,10662893.0
2025-09-16,6.02,6.07,6.07,6.01,8241146.0
2025-09-17,6.05,6.11,6.16,6.04,13709419.0
2025-09-18,6.11,6.02,6.14,5.99,18385900.0
2025-09-19,6.02,5.95,6.04,5.93,13365140.0
2025-09-22,5.89,5.79,5.93,5.74,17108380.0
2025-09-23,5.8,5.72,5.81,5.59,14506900.0
2025-09-24,5.69,5.76,5.78,5.68,8192900.0
2025-09-25,5.77,5.72,5.83,5.71,10004438.0
2025-09-26,5.74,5.74,5.79,5.66,7868300.0
2025-09-29,5.74,5.77,5.79,5.65,8464703.0
2025-09-30,5.79,5.75,5.79,5.73,7491123.0
2025-10-09,5.76,5.84,5.84,5.73,9458500.0
2025-10-10,5.83,5.89,5.92,5.8,10528436.0
2025-10-13,5.76,5.84,5.88,5.69,8935099.0
2025-10-14,5.86,5.87,5.97,5.84,12823923.0
2025-10-15,5.88,5.93,5.93,5.84,9270600.0
2025-10-16,5.92,5.88,5.94,5.83,8021000.0
2025-10-17,5.87,5.75,5.9,5.75,8189000.0
2025-10-20,5.8,5.83,5.86,5.79,5044100.0
2025-10-21,5.83,5.93,5.93,5.81,9021520.0
2025-10-22,5.93,5.91,5.97,5.9,7667100.0
2025-10-23,5.91,5.97,5.98,5.87,8711020.0
2025-10-24,5.94,5.88,5.95,5.86,10118200.0
2025-10-27,5.87,5.88,5.91,5.84,7397000.0
2025-10-28,5.89,5.91,5.93,5.85,8344500.0
2025-10-29,5.9,5.85,5.9,5.81,8801729.0
2025-10-30,5.85,5.79,5.85,5.79,8298801.0
2025-10-31,5.78,5.83,5.85,5.76,6097034.0
2025-11-03,5.83,5.89,5.9,5.82,9089719.0
2025-11-04,5.87,5.87,5.91,5.83,7390100.0
2025-11-05,5.85,5.96,5.98,5.84,14205589.0
2025-11-06,5.95,5.96,5.97,5.93,9406900.0
2025-11-07,5.96,5.98,6.01,5.94,9601029.0
2025-11-10,5.98,6.04,6.06,5.96,12635520.0
2025-11-11,6.07,6.13,6.15,6.05,20561361.0
2025-11-12,6.14,6.08,6.16,6.05,15154900.0
2025-11-13,6.07,6.11,6.15,6.03,14766900.0
2025-11-14,6.08,6.08,6.15,6.07,12868400.0
2025-11-17,6.08,6.07,6.09,6.03,10815300.0
2025-11-18,6.05,5.97,6.07,5.93,12011400.0
2025-11-19,5.97,5.86,6.01,5.82,9651400.0
2025-11-20,5.88,5.83,5.9,5.79,8795100.0
2025-11-21,5.8,5.57,5.82,5.57,15822300.0
2025-11-24,5.6,5.62,5.65,5.53,9072065.0
2025-11-25,5.65,5.67,5.71,5.61,7925303.0
2025-11-26,5.68,5.64,5.73,5.64,7383115.0
2025-11-27,5.64,5.64,5.7,5.62,6403765.0
2025-11-28,5.64,5.7,5.71,5.61,5973000.0
2025-12-01,5.7,5.74,5.76,5.68,7398600.0
2025-12-02,5.74,5.72,5.76,5.67,6345400.0
2025-12-03,5.71,5.69,5.76,5.66,7376800.0
2025-12-04,5.66,5.61,5.69,5.58,6609300.0
2025-12-05,5.59,5.69,5.71,5.56,6410400.0
2025-12-08,5.69,5.69,5.72,5.68,6439600.0
2025-12-09,5.68,5.66,5.71,5.64,5093660.0
2025-12-10,5.66,5.63,5.67,5.6,5337300.0
2025-12-11,5.63,5.49,5.65,5.49,8965220.0
2025-12-12,5.48,5.45,5.54,5.44,11034766.0
2025-12-15,5.45,5.47,5.5,5.4,8290815.0
2025-12-16,5.46,5.36,5.47,5.35,7684680.0
2025-12-17,5.36,5.4,5.42,5.28,8243497.0
2025-12-18,5.39,5.47,5.5,5.37,7480420.0
2025-12-19,5.47,5.54,5.54,5.45,6461020.0
2025-12-22,5.54,5.5,5.56,5.49,6578000.0
2025-12-23,5.49,5.45,5.51,5.43,5345100.0
2025-12-24,5.47,5.53,5.53,5.43,6401497.0
2025-12-25,5.53,5.54,5.56,5.5,7107997.0
2025-12-26,5.54,5.53,5.59,5.51,6190800.0
2025-12-29,5.54,5.49,5.54,5.48,6203500.0
2025-12-30,5.47,5.44,5.49,5.42,7391493.0
2025-12-31,5.45,5.44,5.47,5.38,5952600.0
2026-01-05,5.44,5.5,5.52,5.43,7867348.0
2026-01-06,5.49,5.65,5.7,5.48,17578468.0
2026-01-07,5.64,5.56,5.64,5.55,12156435.0
2026-01-08,5.55,5.63,5.65,5.52,12950640.0
2026-01-09,5.63,5.66,5.66,5.59,11098800.0
2026-01-12,5.67,5.78,5.82,5.65,20135312.0
2026-01-13,5.77,5.78,5.83,5.7,16558400.0
2026-01-14,5.78,5.75,5.82,5.71,19397260.0
2026-01-15,5.74,5.68,5.77,5.66,10668620.0
2026-01-16,5.69,5.69,5.75,5.67,9331440.0
2026-01-19,5.69,5.8,5.84,5.67,24136800.0
2026-01-20,5.78,5.8,5.83,5.75,18506115.0
2026-01-21,5.8,5.88,6.05,5.79,32617159.0
2026-01-22,5.85,5.88,5.89,5.8,17845723.0
2026-01-23,5.88,6.04,6.12,5.86,30931505.0
