date,open,high,low,close,volume,amount,outstanding_share,turnover,pct_chg
2026-01-05,5.05,5.09,4.93,4.95,54791129.0,271725554.0,875774762.0,0.06256303718421152,
2026-01-06,4.95,5.08,4.92,5.03,59068169.0,296223629.0,875774762.0,0.0674467586450042,1.6161616161616266
2026-01-07,5.0,5.02,4.88,4.93,56189410.0,277114526.0,875774762.0,0.0641596588964047,-1.988071570576555
2026-01-08,4.97,4.99,4.9,4.94,43210600.0,213427485.0,875774762.0,0.04933985526292204,0.20283975659229903
2026-01-09,4.99,5.06,4.98,5.05,67571830.0,339662229.0,875774762.0,0.07715663082787033,2.2267206477732726
2026-01-12,5.05,5.06,4.97,5.03,59184382.0,296044606.0,875774762.0,0.06757945600629217,-0.3960396039603853
2026-01-13,5.01,5.2,5.0,5.05,102415232.0,522750671.0,875774762.0,0.11694243365282088,0.397614314115291
2026-01-14,5.06,5.21,5.01,5.13,103497369.0,529050606.0,875774762.0,0.11817806757030068,1.5841584158415856
2026-01-15,5.14,5.15,4.88,4.94,87623920.0,436815605.0,875774762.0,0.10005303167208648,-3.703703703703698
2026-01-16,4.95,5.0,4.7,4.78,67353011.0,324599446.0,875774762.0,0.07690677320523197,-3.238866396761131
2026-01-19,4.78,4.91,4.74,4.89,39916260.0,193606752.0,875774762.0,0.04557822596856245,2.3012552301255207
2026-01-20,4.95,5.01,4.75,4.85,70067700.0,339698192.0,875774762.0,0.0800065302635428,-0.8179959100204526
2026-01-21,4.85,4.9,4.78,4.84,46918499.0,227490673.0,875774762.0,0.05357370529021936,-0.20618556701030855
2026-01-22,4.87,5.32,4.86,5.32,128344517.0,665404193.0,875774762.0,0.1465496867104284,9.917355371900838
2026-01-23,5.43,5.58,5.33,5.35,212272652.0,1144171787.0,875774762.0,0.24238270067892181,0.5639097744360777
2026-01-26,5.46,5.66,5.39,5.49,193318061.0,1067046706.0,875774762.0,0.22073947479203562,2.6168224299065512
2026-01-27,5.44,5.56,5.26,5.36,120077819.0,643899459.0,875774762.0,0.13711038980591223,-2.3679417122040025
2026-01-28,5.29,5.47,5.28,5.4,103477102.0,558473896.0,875774762.0,0.11815492577531025,0.746268656716409
2026-01-29,5.37,5.66,5.3,5.58,169934393.0,933848537.0,875774762.0,0.1940389245882379,3.3333333333333215
2026-01-30,5.48,5.55,5.14,5.29,108669500.0,577326086.0,875774762.0,0.12408384520219823,-5.197132616487455
2026-02-02,5.23,5.28,5.01,5.02,70106290.0,357774326.0,875774762.0,0.08005059410469743,-5.1039697542533125
2026-02-03,5.06,5.08,4.86,5.0,60398076.0,298935753.0,875774762.0,0.06896530777168022,-0.3984063745019806
2026-02-04,4.98,5.17,4.94,5.12,50145954.0,254580666.0,875774762.0,0.05725896220791071,2.400000000000002
2026-02-05,5.05,5.14,5.0,5.04,38926807.0,196907720.0,875774762.0,0.04444842291538883,-1.5625
2026-02-06,4.99,5.15,4.93,5.09,44770640.0,226575473.0,875774762.0,0.05112118085905746,0.9920634920634885
2026-02-09,5.13,5.19,5.06,5.15,45807860.0,234916736.0,875774762.0,0.052305526475082416,1.1787819253438192
