日期,昨日涨跌幅,开盘涨幅,入场价,入场原因,代码,收益_1日,收益_3日,收益_5日,收益_10日,涨跌幅区间
2025-01-20,3.2782782782782904,1.3084565059365172,41.81,昨日涨跌幅+3.28%，符合2%-7%区间,000063,2.28,-1.98,-4.66,-0.71,3%~4%
2025-01-22,5.902692022721667,-1.3059701492537323,42.32,昨日涨跌幅+5.90%，符合2%-7%区间,000063,-3.16,-5.81,2.27,-6.31,5%~7%
2025-01-27,4.428223844282231,-0.5125815470643058,42.7,昨日涨跌幅+4.43%，符合2%-7%区间,000063,-0.61,0.21,-2.79,-8.27,4%~5%
2025-02-06,6.453226613306673,-0.7283834586466198,42.25,昨日涨跌幅+6.45%，符合2%-7%区间,000063,1.28,-1.75,-6.15,-6.03,5%~7%
2025-02-18,2.918973326623031,-1.418092909535451,40.32,昨日涨跌幅+2.92%，符合2%-7%区间,000063,-0.11,7.38,5.13,-8.49,2%~3%
2025-02-20,2.7996945787732264,-0.4951720722951247,40.19,昨日涨跌幅+2.80%，符合2%-7%区间,000063,7.73,5.47,0.44,-5.73,2%~3%
2025-03-05,2.407304925290532,-0.027019724398802403,37.0,昨日涨跌幅+2.41%，符合2%-7%区间,000063,2.42,0.29,4.53,-0.93,2%~3%
2025-03-07,2.674952715482304,-0.2894736842105283,37.89,昨日涨跌幅+2.67%，符合2%-7%区间,000063,-2.07,2.07,-0.89,-7.62,2%~3%
2025-03-13,4.64112250404749,-2.0113460546673623,38.0,昨日涨跌幅+4.64%，符合2%-7%区间,000063,-1.17,-1.89,-5.02,-9.31,4%~5%
2025-04-11,2.1963824289405576,-1.2958280657395682,31.23,昨日涨跌幅+2.20%，符合2%-7%区间,000063,4.04,0.1,3.5,0.97,2%~3%
2025-04-21,3.8782051282051135,-1.2650416538105391,32.0,昨日涨跌幅+3.88%，符合2%-7%区间,000063,-1.09,-1.62,-2.22,3.03,3%~4%
2025-05-07,2.5673137132122603,1.7399267399267337,33.33,昨日涨跌幅+2.57%，符合2%-7%区间,000063,-1.09,-0.76,-1.27,-4.27,2%~3%
2025-05-13,2.030144570901271,1.2963521254145238,33.6,昨日涨跌幅+2.03%，符合2%-7%区间,000063,-2.07,-4.65,-5.01,-8.02,2%~3%
2025-07-04,2.059925093632975,-0.09174311926606338,32.67,昨日涨跌幅+2.06%，符合2%-7%区间,000063,-2.67,0.3,2.08,4.46,2%~3%
2025-07-09,2.6026967701473724,-0.1833740831295949,32.66,昨日涨跌幅+2.60%，符合2%-7%区间,000063,1.13,1.34,1.5,3.49,2%~3%
2025-07-18,3.880866425992768,0.31856356791195584,34.64,昨日涨跌幅+3.88%，符合2%-7%区间,000063,-1.41,-2.45,-1.0,-2.42,3%~4%
2025-07-25,2.3015638831513696,-0.08653014133256365,34.64,昨日涨跌幅+2.30%，符合2%-7%区间,000063,-0.77,-0.4,-2.42,-2.76,2%~3%
2025-08-14,2.749638205499294,-0.22535211267604716,35.42,昨日涨跌幅+2.75%，符合2%-7%区间,000063,-0.87,6.44,19.88,33.6,2%~3%
2025-08-21,5.661375661375656,8.988482724086143,43.53,昨日涨跌幅+5.66%，符合2%-7%区间,000063,6.66,3.14,8.66,-6.46,5%~7%
2025-08-22,6.559839759639474,2.208646616541343,43.5,昨日涨跌幅+6.56%，符合2%-7%区间,000063,5.1,1.1,4.18,-4.14,5%~7%
2025-09-02,5.633802816901423,-0.7083333333333441,47.66,昨日涨跌幅+5.63%，符合2%-7%区间,000063,-8.09,-12.53,-14.97,-7.33,5%~7%
2025-09-08,2.3996082272282004,0.0717360114777632,41.85,昨日涨跌幅+2.40%，符合2%-7%区间,000063,-3.12,4.24,2.61,7.29,2%~3%
2025-09-12,6.449257726940849,-1.62322816643804,43.03,昨日涨跌幅+6.45%，符合2%-7%区间,000063,-0.21,2.28,1.46,3.07,5%~7%
2025-09-17,2.8797027403622666,-0.2031602708803537,44.21,昨日涨跌幅+2.88%，符合2%-7%区间,000063,-0.19,1.55,-0.82,12.77,2%~3%
2025-09-23,2.832343535861126,0.02221235006663047,45.03,昨日涨跌幅+2.83%，符合2%-7%区间,000063,-2.63,-1.52,1.07,11.65,2%~3%
2025-09-26,4.161928587673414,-0.9606986899563297,45.36,昨日涨跌幅+4.16%，符合2%-7%区间,000063,-0.83,9.91,18.04,6.86,4%~5%
