日期,年份,代码,板块,昨日涨跌,开盘,买入价,卖出价,收盘,最高,最低,毛收益,净收益,卖出原因,量化评分,评分评级
2025-04-17,2025,300661,半导体,3.6,116.51,116.74,122.58,123.69,126.6,116.18,5.0,4.9,止盈(5%),69.5,观望
2025-04-22,2025,300236,电子化学品,3.92,37.3,37.37,38.32,38.32,38.84,37.2,2.53,2.43,收盘卖出,68.8,观望
2025-04-29,2025,600745,通信设备,3.73,33.51,33.58,35.26,34.51,35.4,33.28,5.0,4.9,止盈(5%),71.8,可交易
2025-04-30,2025,600745,通信设备,2.59,34.67,34.74,34.67,34.67,35.16,34.41,-0.2,-0.3,收盘卖出,68.8,观望
2025-05-06,2025,688008,半导体,3.38,77.15,77.3,78.92,78.92,78.97,76.8,2.09,1.99,收盘卖出,68.8,观望
2025-05-14,2025,688126,半导体,2.01,18.2,18.24,18.35,18.35,18.53,18.18,0.62,0.52,收盘卖出,61.8,观望
2025-05-22,2025,600188,煤炭开采加工,2.99,13.09,13.12,13.03,13.03,13.14,13.0,-0.66,-0.76,收盘卖出,66.2,观望
2025-05-23,2025,600745,通信设备,3.41,35.6,35.67,35.08,35.08,36.17,35.03,-1.66,-1.76,收盘卖出,79.5,可交易
2025-05-30,2025,300398,电子化学品,4.35,20.18,20.22,21.23,20.76,21.6,19.9,5.0,4.9,止盈(5%),65.5,观望
2025-06-05,2025,603228,元件,5.46,32.83,32.9,34.54,34.71,35.2,32.7,5.0,4.9,止盈(5%),65.8,观望
2025-06-11,2025,688025,电子化学品,3.16,57.68,57.8,58.5,58.5,59.8,56.86,1.22,1.12,收盘卖出,69.5,观望
2025-06-12,2025,688019,电子化学品,4.39,184.48,184.85,182.83,182.83,185.9,181.2,-1.09,-1.19,收盘卖出,67.0,观望
2025-06-13,2025,603228,元件,2.22,32.88,32.95,32.29,32.34,33.88,32.13,-2.0,-2.1,止损(-2%),68.0,观望
2025-06-19,2025,688025,电子化学品,3.39,67.5,67.64,66.76,66.76,68.0,66.35,-1.29,-1.39,收盘卖出,69.5,观望
2025-06-25,2025,603986,半导体,3.08,124.98,125.23,122.73,125.5,125.79,122.6,-2.0,-2.1,止损(-2%),65.5,观望
2025-06-26,2025,688981,半导体,3.81,88.39,88.57,87.28,87.28,89.98,87.2,-1.45,-1.55,收盘卖出,73.2,可交易
2025-06-27,2025,002916,元件,4.81,103.98,104.19,109.4,107.95,111.25,102.2,5.0,4.9,止盈(5%),74.2,可交易
2025-06-30,2025,002916,元件,3.09,109.0,109.22,107.03,107.81,110.12,106.0,-2.0,-2.1,止损(-2%),71.2,可交易
2025-07-01,2025,300655,电子化学品,6.15,10.02,10.04,9.99,9.99,10.24,9.87,-0.5,-0.6,收盘卖出,80.8,可交易
2025-07-04,2025,688025,电子化学品,6.02,74.02,74.17,75.61,75.61,76.47,73.82,1.94,1.84,收盘卖出,68.5,观望
2025-07-07,2025,688072,半导体,5.78,157.0,157.31,165.18,162.69,165.3,157.0,5.0,4.9,止盈(5%),73.2,可交易
2025-07-08,2025,688025,电子化学品,5.26,79.67,79.83,83.82,81.45,86.4,79.01,5.0,4.9,止盈(5%),67.2,观望
2025-07-09,2025,300398,电子化学品,5.23,20.2,20.24,19.84,19.91,20.39,19.82,-2.0,-2.1,止损(-2%),73.2,可交易
2025-07-11,2025,300285,元件,2.78,18.5,18.54,18.25,18.25,18.56,18.19,-1.55,-1.65,收盘卖出,70.8,可交易
