日期,年份,代码,板块,昨日涨跌,开盘,买入价,卖出价,收盘,最高,最低,毛收益,净收益,卖出原因,持仓时间
2026-02-04,2026,300398,电子化学品,6.77,27.82,27.88,27.32,27.98,28.17,27.23,-2.0,-2.1,止损(-2%),盘中
2026-02-10,2026,300408,元件,6.63,54.97,55.08,56.75,56.75,57.21,54.8,3.03,2.93,收盘卖出,全天
2026-02-11,2026,300408,元件,4.72,56.03,56.14,57.12,57.12,57.77,56.03,1.74,1.64,收盘卖出,全天
2026-02-12,2026,600188,煤炭开采加工,4.78,16.66,16.69,17.53,17.51,17.59,16.5,5.0,4.9,止盈(5%),盘中
2026-02-13,2026,600188,煤炭开采加工,5.17,17.23,17.26,17.35,17.35,17.88,16.96,0.5,0.4,收盘卖出,全天
2026-02-26,2026,300398,电子化学品,5.02,32.18,32.24,33.86,33.42,34.1,31.7,5.0,4.9,止盈(5%),盘中
2026-02-27,2026,300398,电子化学品,4.5,32.4,32.46,31.82,31.77,32.57,31.44,-2.0,-2.1,止损(-2%),盘中
2026-03-03,2026,600188,煤炭开采加工,6.38,19.1,19.14,20.1,20.5,20.74,18.53,5.0,4.9,止盈(5%),盘中
2026-03-10,2026,600188,煤炭开采加工,5.19,19.18,19.22,19.48,19.48,19.9,18.89,1.36,1.26,收盘卖出,全天
2026-03-11,2026,300782,半导体,5.19,84.51,84.68,84.15,84.15,84.89,83.01,-0.62,-0.72,收盘卖出,全天
2026-03-12,2026,600703,通信设备,5.77,17.05,17.08,17.94,18.74,18.74,17.0,5.0,4.9,止盈(5%),盘中
2026-03-25,2026,600563,元件,5.96,132.0,132.26,138.88,136.77,139.33,130.9,5.0,4.9,止盈(5%),盘中
2026-04-09,2026,688019,电子化学品,6.15,265.0,265.53,268.72,268.72,272.0,262.03,1.2,1.1,收盘卖出,全天
2026-04-10,2026,688025,电子化学品,5.76,271.82,272.36,266.92,277.22,279.9,266.58,-2.0,-2.1,止损(-2%),盘中
2026-04-13,2026,601138,计算机设备,2.73,56.0,56.11,55.7,55.7,56.55,55.4,-0.73,-0.83,收盘卖出,全天
2026-04-14,2026,688041,半导体,5.79,251.01,251.51,246.48,248.78,252.86,245.03,-2.0,-2.1,止损(-2%),盘中
2026-04-16,2026,688025,电子化学品,2.43,266.15,266.68,280.02,282.68,292.32,262.62,5.0,4.9,止盈(5%),盘中
2026-04-17,2026,300398,电子化学品,5.57,28.93,28.99,29.25,29.25,29.96,28.77,0.9,0.8,收盘卖出,全天
2026-04-21,2026,002484,元件,5.24,34.51,34.58,36.31,35.68,36.37,34.07,5.0,4.9,止盈(5%),盘中
2026-04-22,2026,603986,半导体,5.41,303.5,304.11,313.98,313.98,314.58,302.51,3.25,3.15,收盘卖出,全天
2026-04-24,2026,300661,半导体,6.24,91.5,91.68,89.85,89.35,94.39,89.24,-2.0,-2.1,止损(-2%),盘中
2026-04-27,2026,300408,元件,6.98,75.0,75.15,75.71,75.71,76.6,73.88,0.75,0.65,收盘卖出,全天
2026-04-29,2026,300285,元件,5.77,36.74,36.81,36.98,36.98,37.34,36.39,0.45,0.35,收盘卖出,全天
2026-05-06,2026,688041,半导体,6.27,322.1,322.74,338.88,344.41,355.5,321.0,5.0,4.9,止盈(5%),盘中
2026-05-07,2026,600584,半导体,5.79,48.9,49.0,48.02,48.76,49.5,47.47,-2.0,-2.1,止损(-2%),盘中
2026-05-08,2026,688025,电子化学品,6.42,362.0,362.72,375.02,375.02,379.99,358.0,3.39,3.29,收盘卖出,全天
2026-05-11,2026,603267,元件,4.21,57.0,57.11,57.33,57.33,58.83,56.71,0.38,0.28,收盘卖出,全天
2026-05-13,2026,300285,元件,5.94,40.92,41.0,40.18,42.6,42.9,40.0,-2.0,-2.1,止损(-2%),盘中
2026-05-18,2026,600584,半导体,6.89,57.47,57.58,60.46,58.33,61.96,57.01,5.0,4.9,止盈(5%),盘中
2026-05-19,2026,300576,电子化学品,6.63,44.15,44.24,46.45,45.99,47.0,43.82,5.0,4.9,止盈(5%),盘中
2026-05-20,2026,300661,半导体,6.88,112.1,112.32,117.94,116.79,119.63,110.15,5.0,4.9,止盈(5%),盘中
2026-05-22,2026,300408,元件,2.62,104.99,105.2,110.46,115.0,118.0,104.68,5.0,4.9,止盈(5%),盘中
2026-05-25,2026,688396,半导体,4.35,62.5,62.62,65.76,66.2,67.16,61.52,5.0,4.9,止盈(5%),盘中
2026-05-28,2026,300408,元件,5.18,126.0,126.25,132.56,132.11,135.0,123.0,5.0,4.9,止盈(5%),盘中
2026-06-04,2026,600584,半导体,6.34,79.0,79.16,80.08,80.08,81.86,77.8,1.16,1.06,收盘卖出,全天
