日期,年份,代码,板块,昨日涨跌,开盘,买入价,卖出价,收盘,最高,最低,毛收益,净收益,卖出原因,持仓时间
2024-07-15,2024,688008,半导体,2.31,64.1,64.23,64.3,64.3,66.88,63.82,0.11,0.01,收盘卖出,全天
2024-07-16,2024,600584,半导体,3.52,34.3,34.37,36.09,36.03,36.19,34.3,5.0,4.9,止盈(5%),盘中
2024-07-17,2024,603267,元件,5.75,35.65,35.72,35.3,35.3,36.17,35.28,-1.18,-1.28,收盘卖出,全天
2024-07-19,2024,603005,半导体,5.68,22.0,22.04,22.13,22.13,22.93,21.89,0.39,0.29,收盘卖出,全天
2024-07-22,2024,688981,半导体,5.03,50.9,51.0,50.98,50.98,51.45,50.65,-0.04,-0.14,收盘卖出,全天
2024-07-26,2024,600563,元件,5.34,91.01,91.19,90.14,90.14,93.23,89.68,-1.15,-1.25,收盘卖出,全天
2024-07-29,2024,603267,元件,5.57,37.42,37.49,39.37,39.19,40.36,36.83,5.0,4.9,止盈(5%),盘中
2024-07-30,2024,603267,元件,5.43,38.88,38.96,39.06,39.06,40.0,38.4,0.26,0.16,收盘卖出,全天
2024-08-02,2024,688072,半导体,4.55,132.5,132.76,131.8,131.8,136.96,130.6,-0.73,-0.83,收盘卖出,全天
2024-08-07,2024,688072,半导体,2.56,131.65,131.91,132.41,132.41,135.5,131.6,0.38,0.28,收盘卖出,全天
2024-09-11,2024,600563,元件,3.76,84.33,84.5,86.52,86.52,88.18,84.3,2.39,2.29,收盘卖出,全天
2024-09-25,2024,300346,电子化学品,4.3,27.43,27.48,27.4,27.4,28.23,27.38,-0.31,-0.41,收盘卖出,全天
2024-09-26,2024,600745,通信设备,3.0,26.76,26.81,28.1,28.1,28.12,26.62,4.8,4.7,收盘卖出,全天
2024-09-27,2024,600745,通信设备,4.97,28.81,28.87,29.75,29.75,29.75,28.44,3.06,2.96,收盘卖出,全天
2024-09-30,2024,300655,电子化学品,6.7,7.7,7.72,8.1,8.66,8.75,7.6,5.0,4.9,止盈(5%),盘中
2024-10-15,2024,300346,电子化学品,6.01,38.6,38.68,40.61,38.62,41.3,38.0,5.0,4.9,止盈(5%),盘中
2024-10-16,2024,603160,半导体,2.87,81.01,81.17,80.39,80.39,83.0,79.63,-0.96,-1.06,收盘卖出,全天
2024-10-17,2024,300576,电子化学品,4.27,47.68,47.78,50.16,48.99,50.48,47.39,5.0,4.9,止盈(5%),盘中
2024-10-18,2024,603160,半导体,3.37,82.75,82.92,87.06,91.41,91.41,82.62,5.0,4.9,止盈(5%),盘中
2024-10-22,2024,603160,半导体,2.72,91.5,91.68,89.85,90.42,92.7,89.01,-2.0,-2.1,止损(-2%),盘中
2024-10-23,2024,603267,元件,2.53,45.01,45.1,47.36,45.48,47.98,45.01,5.0,4.9,止盈(5%),盘中
2024-10-24,2024,688072,半导体,3.88,151.96,152.26,159.88,156.0,160.95,150.0,5.0,4.9,止盈(5%),盘中
2024-10-25,2024,600745,通信设备,3.01,34.91,34.98,36.73,36.17,36.87,34.68,5.0,4.9,止盈(5%),盘中
2024-10-29,2024,688025,电子化学品,5.17,47.67,47.77,50.15,49.31,51.69,46.75,5.0,4.9,止盈(5%),盘中
2024-10-30,2024,600745,通信设备,6.01,41.02,41.1,40.28,40.66,41.42,39.8,-2.0,-2.1,止损(-2%),盘中
2024-11-05,2024,688019,电子化学品,5.98,156.0,156.31,164.13,162.97,164.46,155.04,5.0,4.9,止盈(5%),盘中
2024-11-06,2024,002138,元件,6.12,31.53,31.59,31.66,31.66,32.48,31.13,0.21,0.11,收盘卖出,全天
2024-11-07,2024,600584,半导体,6.06,42.6,42.69,41.83,43.83,44.25,41.75,-2.0,-2.1,止损(-2%),盘中
2024-11-08,2024,002371,半导体,5.21,438.99,439.87,461.86,447.75,468.0,427.0,5.0,4.9,止盈(5%),盘中
2024-11-11,2024,300576,电子化学品,6.85,62.1,62.22,65.34,61.6,66.96,60.43,5.0,4.9,止盈(5%),盘中
2024-11-13,2024,002484,元件,2.52,16.1,16.13,15.81,15.85,16.28,15.65,-2.0,-2.1,止损(-2%),盘中
2024-11-14,2024,688072,半导体,3.44,203.86,204.27,214.48,205.5,216.0,203.17,5.0,4.9,止盈(5%),盘中
2024-11-28,2024,002484,元件,2.64,18.25,18.29,17.92,18.37,18.83,17.86,-2.0,-2.1,止损(-2%),盘中
2024-12-17,2024,603986,半导体,3.96,95.2,95.39,93.48,93.68,97.0,93.16,-2.0,-2.1,止损(-2%),盘中
2024-12-20,2024,603501,通信设备,2.19,103.28,103.49,104.01,104.01,106.5,103.07,0.51,0.41,收盘卖出,全天
2024-12-23,2024,688008,半导体,2.44,72.52,72.67,71.21,70.92,74.36,70.5,-2.0,-2.1,止损(-2%),盘中
2024-12-24,2024,688041,半导体,4.3,138.49,138.77,135.99,140.75,141.21,134.5,-2.0,-2.1,止损(-2%),盘中
2024-12-25,2024,300408,元件,5.73,39.96,40.04,39.24,39.34,40.08,39.11,-2.0,-2.1,止损(-2%),盘中
2024-12-27,2024,002916,元件,5.72,128.53,128.79,127.68,127.68,130.92,126.51,-0.86,-0.96,收盘卖出,全天
2025-01-15,2025,603228,元件,4.2,30.35,30.41,30.36,30.36,30.94,30.04,-0.17,-0.27,收盘卖出,全天
2025-01-17,2025,002484,元件,4.03,23.19,23.24,23.54,23.54,24.05,22.91,1.31,1.21,收盘卖出,全天
2025-01-20,2025,603228,元件,6.11,33.01,33.08,34.73,34.95,34.95,32.45,5.0,4.9,止盈(5%),盘中
2025-01-22,2025,688019,电子化学品,4.02,151.3,151.6,149.9,149.9,153.69,149.0,-1.12,-1.22,收盘卖出,全天
2025-01-24,2025,300661,半导体,2.92,88.72,88.9,91.0,91.0,91.0,87.89,2.37,2.27,收盘卖出,全天
2025-02-06,2025,300661,半导体,4.89,88.55,88.73,93.16,92.89,94.15,87.9,5.0,4.9,止盈(5%),盘中
