日期,年份,代码,板块,昨日涨跌,开盘,买入价,卖出价,收盘,最高,最低,毛收益,净收益,卖出原因,量化评分,评分评级
2024-10-23,2024,603267,元件,2.53,45.01,45.1,47.36,45.48,47.98,45.01,5.0,4.9,止盈(5%),72.5,可交易
2024-10-24,2024,688072,半导体,3.88,151.96,152.26,159.88,156.0,160.95,150.0,5.0,4.9,止盈(5%),71.8,可交易
2024-10-25,2024,600745,通信设备,3.01,34.91,34.98,36.73,36.17,36.87,34.68,5.0,4.9,止盈(5%),72.8,可交易
2024-10-28,2024,600745,通信设备,3.61,36.98,37.05,38.91,39.79,39.79,36.78,5.0,4.9,止盈(5%),72.8,可交易
2024-10-29,2024,002138,元件,3.87,29.58,29.64,29.74,29.74,30.5,29.53,0.34,0.24,收盘卖出,80.5,可交易
2024-10-30,2024,688025,电子化学品,3.61,49.9,50.0,52.5,51.78,53.0,49.37,5.0,4.9,止盈(5%),81.5,可交易
2024-11-05,2024,600563,元件,4.76,128.5,128.76,132.99,132.99,134.86,128.0,3.29,3.19,收盘卖出,78.5,可交易
2024-11-06,2024,002138,元件,6.12,31.53,31.59,31.66,31.66,32.48,31.13,0.21,0.11,收盘卖出,80.8,可交易
2024-11-07,2024,603986,半导体,2.65,94.68,94.87,96.64,96.64,97.18,94.01,1.87,1.77,收盘卖出,74.5,可交易
2024-11-11,2024,002371,半导体,5.11,458.0,458.92,481.86,486.69,487.8,455.71,5.0,4.9,止盈(5%),79.8,可交易
2024-11-13,2024,002484,元件,2.52,16.1,16.13,15.81,15.85,16.28,15.65,-2.0,-2.1,止损(-2%),72.5,可交易
2024-12-17,2024,603986,半导体,3.96,95.2,95.39,93.48,93.68,97.0,93.16,-2.0,-2.1,止损(-2%),79.5,可交易
2024-12-24,2024,688041,半导体,4.3,138.49,138.77,135.99,140.75,141.21,134.5,-2.0,-2.1,止损(-2%),81.8,可交易
2024-12-25,2024,300408,元件,5.73,39.96,40.04,39.24,39.34,40.08,39.11,-2.0,-2.1,止损(-2%),77.0,可交易
2025-01-17,2025,002484,元件,4.03,23.19,23.24,23.54,23.54,24.05,22.91,1.31,1.21,收盘卖出,71.5,可交易
2025-01-20,2025,603228,元件,6.11,33.01,33.08,34.73,34.95,34.95,32.45,5.0,4.9,止盈(5%),78.5,可交易
2025-01-22,2025,002916,元件,3.0,133.8,134.07,140.77,139.78,141.6,132.9,5.0,4.9,止盈(5%),70.5,可交易
2025-01-23,2025,002916,元件,4.24,139.78,140.06,137.26,139.34,141.0,136.7,-2.0,-2.1,止损(-2%),70.8,可交易
2025-02-07,2025,300398,电子化学品,4.06,16.6,16.63,16.73,16.73,16.95,16.48,0.58,0.48,收盘卖出,72.8,可交易
2025-02-10,2025,603501,通信设备,3.13,117.36,117.59,118.34,118.34,119.78,116.91,0.63,0.53,收盘卖出,81.8,可交易
2025-02-12,2025,603005,半导体,4.05,31.88,31.94,33.54,34.66,35.92,31.47,5.0,4.9,止盈(5%),74.8,可交易
2025-02-13,2025,603005,半导体,6.16,34.52,34.59,33.9,34.05,35.16,33.61,-2.0,-2.1,止损(-2%),75.0,可交易
2025-02-17,2025,688008,半导体,4.73,74.95,75.1,73.6,74.79,76.0,73.36,-2.0,-2.1,止损(-2%),73.5,可交易
2025-02-19,2025,603228,元件,5.81,38.0,38.08,37.31,39.46,39.8,37.2,-2.0,-2.1,止损(-2%),79.8,可交易
